LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.71583,-97.17444,20040314,5,109,206,156
28.71583,-97.17444,20040315,10,94,239,150
28.71583,-97.17444,20040316,18,18,228,150
28.71583,-97.17444,20040317,41,0,272,150
28.71583,-97.17444,20040318,38,3,267,167
28.71583,-97.17444,20040319,8,5,233,194
28.71583,-97.17444,20040320,10,5,239,200
28.71583,-97.17444,20040321,18,0,189,183
28.71583,-97.17444,20040322,23,0,267,156
28.71583,-97.17444,20040323,43,0,233,122
28.71583,-97.17444,20040324,18,0,228,161
28.71583,-97.17444,20040325,30,0,256,200
28.71583,-97.17444,20040326,13,0,244,206
28.71583,-97.17444,20040327,20,0,267,200
28.71583,-97.17444,20040328,43,0,272,183
28.71583,-97.17444,20040329,36,0,256,-9999
28.71583,-97.17444,20040330,18,3,206,100
28.71583,-97.17444,20040331,-9999,0,-9999,-9999
28.71583,-97.17444,20040401,53,0,306,111
28.71583,-97.17444,20040402,51,0,283,161
28.71583,-97.17444,20040403,8,414,244,150
28.71583,-97.17444,20040404,51,0,272,156
28.71583,-97.17444,20040405,28,56,256,167
28.71583,-97.17444,20040406,25,0,244,167
28.71583,-97.17444,20040407,20,229,228,150
28.71583,-97.17444,20040408,46,0,294,161
28.71583,-97.17444,20040409,-9999,0,-9999,-9999
28.71583,-97.17444,20040410,-9999,0,283,139
28.71583,-97.17444,20040411,20,122,283,122
28.71583,-97.17444,20040412,5,86,283,106
28.71583,-97.17444,20040413,36,18,200,72
28.71583,-97.17444,20040414,46,0,200,67
28.71583,-97.17444,20040415,48,0,239,94
28.71583,-97.17444,20040416,38,0,256,133
28.71583,-97.17444,20040417,30,0,256,156
28.71583,-97.17444,20040418,30,0,256,156
28.71583,-97.17444,20040419,48,0,267,167
28.71583,-97.17444,20040420,43,0,272,194
28.71583,-97.17444,20040421,33,0,267,206
28.71583,-97.17444,20040422,28,0,272,211
28.71583,-97.17444,20040423,28,0,272,222
28.71583,-97.17444,20040424,25,0,283,178
28.71583,-97.17444,20040425,15,328,250,183
28.71583,-97.17444,20040426,18,0,261,194
28.71583,-97.17444,20040427,38,0,272,156
28.71583,-97.17444,20040428,46,0,272,139
28.71583,-97.17444,20040429,38,0,256,161
28.71583,-97.17444,20040430,36,0,283,206
28.71583,-97.17444,20040501,28,-9999,-9999,-9999
28.71583,-97.17444,20040502,8,191,289,111
28.71583,-97.17444,20040503,66,0,289,94
28.71583,-97.17444,20040504,51,0,272,133
28.71583,-97.17444,20040505,56,0,278,139
